item_name,item_price
Chips and Fresh Tomato Salsa,2.39
Izze,3.39
Nantucket Nectar,3.39
Chips and Tomatillo-Green Chili Salsa,2.39
Chicken Bowl,16.98
Chicken Bowl,10.98
Side of Chips,1.69
Steak Burrito,11.75
Steak Soft Tacos,9.25
Steak Burrito,9.25
Chips and Guacamole,4.45
Chicken Crispy Tacos,8.75
Chicken Soft Tacos,8.75
Chicken Bowl,11.25
Chips and Guacamole,4.45
Chips and Tomatillo-Green Chili Salsa,2.39
Chicken Burrito,8.49
Chicken Burrito,8.49
Canned Soda,2.18
Chicken Bowl,8.75
Chips and Guacamole,4.45
Barbacoa Burrito,8.99
Nantucket Nectar,3.39
Chicken Burrito,10.98
Izze,3.39
Chips and Fresh Tomato Salsa,2.39
Chicken Bowl,8.49
Carnitas Burrito,8.99
Canned Soda,1.09
Chicken Burrito,8.49
Chips and Tomatillo-Green Chili Salsa,2.39
Steak Burrito,8.99
Side of Chips,1.69
Carnitas Bowl,8.99
Bottled Water,1.09
Chicken Soft Tacos,8.75
Chicken Soft Tacos,8.75
Chips and Guacamole,4.45
Chips and Tomatillo Green Chili Salsa,2.95
Barbacoa Bowl,11.75
Chips,2.15
Chips and Guacamole,4.45
Chicken Bowl,11.25
Steak Burrito,11.75
Chicken Salad Bowl,8.75
Chicken Burrito,10.98
Steak Burrito,8.99
Izze,3.39
Steak Burrito,8.99
Chips and Guacamole,3.99
Steak Burrito,8.99
Canned Soda,2.18
Chicken Burrito,10.98
Canned Soda,1.09
Steak Bowl,8.99
Chips and Fresh Tomato Salsa,2.39
Barbacoa Soft Tacos,9.25
Veggie Burrito,11.25
Barbacoa Bowl,11.75
Chips,2.15
Chips and Guacamole,4.45
Steak Soft Tacos,9.25
Veggie Bowl,11.25
Chicken Burrito,8.75
Steak Burrito,8.99
Steak Soft Tacos,8.99
Izze,3.39
Steak Burrito,8.99
Chicken Burrito,10.98
Steak Burrito,8.99
Side of Chips,1.69
Steak Burrito,8.99
Chips and Guacamole,3.99
Chicken Burrito,8.75
Chips and Guacamole,4.45
Chicken Soft Tacos,8.75
Chicken Bowl,8.75
Chips,2.15
Chicken Bowl,8.75
Chicken Soft Tacos,11.25
Chips,2.15
Barbacoa Burrito,9.25
Chicken Burrito,8.75
Chicken Burrito,8.75
Steak Soft Tacos,9.25
Veggie Bowl,8.49
Steak Bowl,8.99
Bottled Water,1.09
Carnitas Burrito,9.25
Chips and Fresh Tomato Salsa,2.95
Steak Bowl,11.75
Steak Bowl,11.75
Steak Crispy Tacos,9.25
Carnitas Burrito,11.75
Chips and Guacamole,4.45
Barbacoa Bowl,9.25
Chips and Guacamole,4.45
Carnitas Bowl,11.75
Chicken Burrito,8.75
Chicken Bowl,8.75
Chips and Guacamole,4.45
Steak Burrito,8.99
Steak Bowl,8.99
Chips and Guacamole,3.99
Veggie Burrito,8.49
Nantucket Nectar,3.39
Steak Burrito,8.99
Canned Soda,1.09
Steak Burrito,9.25
Chips and Guacamole,4.45
Chicken Bowl,8.75
Chips and Tomatillo Red Chili Salsa,2.95
Chips and Guacamole,4.45
Chips and Tomatillo-Green Chili Salsa,2.39
Chicken Burrito,8.49
Barbacoa Bowl,8.99
Chicken Burrito,8.49
Canned Soda,1.09
Steak Soft Tacos,8.99
Chips and Guacamole,3.99
Chicken Burrito,8.75
Barbacoa Burrito,9.25
Chips and Guacamole,4.45
Chicken Bowl,11.25
Chips and Guacamole,4.45
Steak Burrito,8.99
Canned Soda,1.09
Barbacoa Bowl,9.25
Chips and Tomatillo Red Chili Salsa,2.95
Chips and Guacamole,4.45
Barbacoa Burrito,11.75
Chips and Guacamole,4.45
Chicken Burrito,8.49
Chips and Tomatillo-Green Chili Salsa,2.39
Chicken Burrito,10.98
Chicken Salad Bowl,22.5
Barbacoa Bowl,11.75
Chips and Guacamole,4.45
Chicken Bowl,11.25
Chips and Guacamole,4.45
Chicken Bowl,11.25
Chips and Guacamole,4.45
Chicken Bowl,11.25
Veggie Bowl,11.25
Barbacoa Burrito,11.75
Carnitas Bowl,9.25
Chips and Guacamole,4.45
Steak Burrito,11.48
Steak Burrito,17.98
Side of Chips,1.69
Chicken Burrito,17.5
Chips and Guacamole,4.45
Chicken Burrito,8.49
Chips and Tomatillo-Green Chili Salsa,2.39
Chicken Bowl,17.5
Chips and Guacamole,4.45
Chips and Guacamole,4.45
Veggie Bowl,11.25
Steak Burrito,11.75
Chicken Burrito,10.98
Chicken Bowl,8.49
Chicken Burrito,10.98
Canned Soda,2.18
Carnitas Bowl,11.48
Veggie Bowl,8.49
Chips and Tomatillo-Green Chili Salsa,2.39
Chips and Guacamole,4.45
Chicken Burrito,11.25
Barbacoa Crispy Tacos,11.75
Chicken Burrito,8.75
Chicken Burrito,8.49
Canned Soda,2.18
Chicken Burrito,8.49
Nantucket Nectar,3.39
Chicken Burrito,8.49
Steak Soft Tacos,8.99
Chicken Bowl,10.98
Steak Burrito,11.48
Chicken Burrito,8.49
Canned Soda,1.09
Canned Soda,1.09
Barbacoa Soft Tacos,9.25
Chicken Bowl,8.75
Chips and Fresh Tomato Salsa,2.95
Steak Soft Tacos,9.25
Chips and Guacamole,4.45
Veggie Salad Bowl,11.25
Steak Bowl,11.48
Chicken Burrito,8.49
Chicken Burrito,8.49
Steak Burrito,8.99
Chips and Roasted Chili-Corn Salsa,2.39
Veggie Bowl,11.25
Chicken Bowl,8.75
Chips and Fresh Tomato Salsa,2.95
Canned Soda,1.09
Steak Burrito,8.99
Chicken Burrito,8.49
Chips and Tomatillo-Green Chili Salsa,2.39
Chicken Bowl,10.98
Canned Soda,1.09
Chips and Guacamole,3.99
Chicken Burrito,11.25
Chicken Burrito,8.75
Chicken Burrito,8.49
Nantucket Nectar,3.39
Chicken Bowl,8.75
Steak Bowl,9.25
Chips,2.15
Chicken Bowl,11.25
Veggie Bowl,11.25
Chicken Bowl,11.25
Chips and Guacamole,4.45
Chicken Salad Bowl,22.5
Chips and Guacamole,4.45
Steak Bowl,11.75
Chicken Burrito,8.75
Chicken Crispy Tacos,17.5
Chicken Bowl,8.75
Barbacoa Bowl,9.25
Chicken Bowl,8.75
Chips,2.15
Barbacoa Burrito,9.25
Chips,4.3
Chicken Bowl,8.75
Veggie Burrito,11.25
Chips,2.15
Steak Burrito,8.99
Canned Soda,1.09
Steak Burrito,8.99
Chips and Guacamole,3.99
Chicken Bowl,8.75
Chips and Tomatillo Green Chili Salsa,2.95
Chips and Roasted Chili Corn Salsa,2.95
Steak Burrito,11.75
Chips and Tomatillo Green Chili Salsa,5.9
Steak Burrito,9.25
Carnitas Soft Tacos,9.25
Steak Burrito,11.75
Carnitas Burrito,9.25
Chips and Fresh Tomato Salsa,2.95
Chicken Burrito,17.5
Chicken Burrito,8.75
Steak Bowl,9.25
Chicken Burrito,10.98
Steak Burrito,8.99
Canned Soda,1.09
Canned Soda,1.09
Canned Soda,1.09
Barbacoa Burrito,8.99
Chicken Salad,10.98
Canned Soda,1.09
Chicken Bowl,8.75
Veggie Bowl,8.75
Barbacoa Bowl,9.25
Barbacoa Crispy Tacos,9.25
Chicken Salad Bowl,8.75
Chicken Bowl,8.75
Steak Burrito,8.99
Steak Bowl,8.99
Steak Bowl,8.99
Canned Soda,1.09
Steak Bowl,11.75
Canned Soft Drink,1.25
Steak Burrito,8.99
Chips and Fresh Tomato Salsa,2.39
Steak Soft Tacos,9.25
Chips and Fresh Tomato Salsa,2.95
Barbacoa Soft Tacos,8.99
Chips and Guacamole,3.99
Chicken Burrito,8.49
Chips and Tomatillo-Green Chili Salsa,2.39
Chicken Burrito,8.49
Chicken Burrito,8.49
Chicken Burrito,8.49
Side of Chips,1.69
Chicken Burrito,8.49
Chips and Guacamole,3.99
Steak Soft Tacos,8.99
Side of Chips,1.69
Canned Soda,1.09
Steak Salad Bowl,23.78
Chicken Bowl,17.5
Chips,2.15
Chicken Bowl,8.75
Steak Bowl,9.25
Steak Bowl,9.25
Veggie Bowl,8.75
Chips and Guacamole,4.45
Chicken Burrito,8.75
Chicken Bowl,11.25
Chicken Bowl,11.25
Canned Soft Drink,1.25
Steak Soft Tacos,9.25
Chips and Guacamole,4.45
Veggie Salad Bowl,11.25
Steak Burrito,11.75
Steak Burrito,11.75
6 Pack Soft Drink,6.49
Steak Soft Tacos,8.99
Chips and Tomatillo-Red Chili Salsa,2.39
Chicken Bowl,8.49
Chips and Fresh Tomato Salsa,2.39
Chicken Bowl,11.25
Chicken Bowl,8.75
Chips,2.15
Steak Bowl,8.99
Side of Chips,1.69
Chicken Burrito,8.75
Chicken Burrito,11.25
Chips,2.15
Chips and Guacamole,4.45
Chicken Bowl,8.75
Chicken Soft Tacos,8.49
Steak Burrito,8.99
Chicken Salad Bowl,17.5
Chicken Burrito,8.49
Canned Soda,1.09
Bottled Water,1.09
Chicken Bowl,8.75
Canned Soft Drink,1.25
Chips,2.15
Steak Burrito,11.08
Chicken Burrito,8.49
Chicken Soft Tacos,8.49
Steak Burrito,8.99
Chips and Fresh Tomato Salsa,2.39
Chicken Bowl,8.75
Chips,2.15
Bottled Water,1.5
Chicken Burrito,11.25
Chips,2.15
Chicken Soft Tacos,8.49
Chicken Soft Tacos,8.49
Barbacoa Burrito,11.75
Steak Burrito,9.25
Steak Bowl,11.75
Canned Soft Drink,1.25
Chicken Burrito,11.25
Chicken Burrito,8.75
Chips and Guacamole,4.45
6 Pack Soft Drink,6.49
Steak Soft Tacos,9.25
Chips and Fresh Tomato Salsa,2.95
Chicken Soft Tacos,11.25
Chips and Guacamole,4.45
Canned Soft Drink,1.25
Canned Soft Drink,1.25
Chicken Bowl,8.49
Chips and Tomatillo-Red Chili Salsa,2.39
Canned Soda,2.18
Chicken Burrito,8.49
Canned Soda,2.18
Steak Burrito,22.16
Chicken Soft Tacos,17.5
Chicken Burrito,8.75
Chips and Tomatillo Red Chili Salsa,2.95
6 Pack Soft Drink,6.49
Steak Burrito,8.99
Izze,3.39
Izze,3.39
Steak Burrito,8.99
Chicken Burrito,8.49
Chicken Burrito,11.25
Chips,2.15
Chicken Crispy Tacos,11.25
Chips and Tomatillo Green Chili Salsa,2.95
Chicken Burrito,11.25
Canned Soft Drink,1.25
Steak Burrito,8.99
Canned Soda,1.09
Chicken Bowl,8.75
Chicken Burrito,8.75
Carnitas Burrito,9.25
Chips and Fresh Tomato Salsa,2.95
Barbacoa Burrito,11.75
Bottled Water,1.5
Steak Burrito,8.99
Canned Soda,1.09
Chicken Bowl,11.25
Canned Soft Drink,1.25
Canned Soft Drink,1.25
Chicken Burrito,11.25
Steak Burrito,11.75
Chips,2.15
Barbacoa Burrito,8.99
Side of Chips,1.69
Steak Bowl,11.75
6 Pack Soft Drink,6.49
Chicken Burrito,8.75
Steak Soft Tacos,9.25
Chicken Burrito,11.25
Chips and Guacamole,4.45
Canned Soft Drink,1.25
Veggie Burrito,11.25
Chips and Guacamole,4.45
Chicken Burrito,8.49
Barbacoa Burrito,8.99
Chicken Burrito,8.49
Carnitas Bowl,8.99
Chicken Burrito,11.25
Canned Soft Drink,1.25
Steak Burrito,11.75
Canned Soft Drink,1.25
Steak Burrito,11.75
Carnitas Soft Tacos,9.25
Chips and Guacamole,4.45
Chicken Bowl,11.25
Chips,2.15
Chicken Bowl,32.94
Canned Soft Drink,1.25
Chicken Bowl,11.25
Steak Bowl,11.48
Side of Chips,1.69
Canned Soda,1.09
Chicken Bowl,17.5
Chips and Guacamole,4.45
6 Pack Soft Drink,6.49
Barbacoa Bowl,9.25
Chicken Soft Tacos,8.75
Steak Burrito,9.25
Carnitas Burrito,9.25
Chicken Bowl,8.75
Chicken Burrito,8.75
Chips,2.15
Chips and Fresh Tomato Salsa,2.95
Chicken Soft Tacos,17.5
Chicken Soft Tacos,10.98
Steak Bowl,11.48
Barbacoa Crispy Tacos,11.48
Izze,3.39
Steak Burrito,8.99
Side of Chips,1.69
Carnitas Bowl,8.99
Canned Soda,1.09
Veggie Burrito,10.98
Nantucket Nectar,3.39
Steak Crispy Tacos,8.99
Canned Soda,1.09
Steak Burrito,9.25
Chicken Soft Tacos,8.75
Chicken Burrito,11.25
Chips and Guacamole,4.45
Chips and Tomatillo Red Chili Salsa,2.95
Steak Bowl,9.25
Bowl,22.2
Chicken Burrito,8.49
Steak Burrito,8.99
Chicken Burrito,8.75
Chicken Bowl,8.75
Barbacoa Burrito,11.75
Chicken Burrito,8.75
Chicken Burrito,11.25
Carnitas Soft Tacos,9.25
Chicken Bowl,11.25
Veggie Salad Bowl,11.25
Chicken Bowl,8.75
Chicken Burrito,11.25
Chips and Fresh Tomato Salsa,2.95
Canned Soft Drink,1.25
Chicken Bowl,8.49
Side of Chips,1.69
Carnitas Burrito,11.75
Chicken Burrito,11.25
Chicken Bowl,8.75
Chicken Bowl,8.75
Chips and Guacamole,4.45
Veggie Burrito,8.49
Chips and Guacamole,3.99
Veggie Burrito,8.49
Chips and Guacamole,3.99
Barbacoa Bowl,11.48
Side of Chips,1.69
Canned Soda,1.09
Chicken Soft Tacos,11.25
Bottled Water,1.5
Chicken Burrito,10.58
Side of Chips,1.69
Carnitas Burrito,9.25
Veggie Burrito,11.25
Chicken Bowl,8.75
Steak Burrito,9.25
Chicken Burrito,11.25
Chicken Bowl,11.25
Chicken Bowl,8.75
Barbacoa Crispy Tacos,11.75
Chicken Burrito,8.75
Chicken Burrito,8.75
Chicken Bowl,8.75
Chips,2.15
Chicken Bowl,11.25
Steak Bowl,11.75
Canned Soft Drink,2.5
Chips and Guacamole,4.45
Steak Soft Tacos,9.25
Chips and Guacamole,4.45
Veggie Salad Bowl,11.25
Veggie Burrito,8.49
Chips and Guacamole,3.99
Steak Bowl,9.25
Steak Bowl,9.25
Chicken Bowl,11.25
Barbacoa Burrito,9.25
Steak Burrito,11.75
Chicken Soft Tacos,11.25
Canned Soft Drink,1.25
Carnitas Bowl,23.5
Canned Soft Drink,1.25
Steak Burrito,8.99
Chicken Bowl,8.49
Burrito,7.4
Burrito,7.4
Veggie Bowl,8.75
Canned Soft Drink,1.25
Chips and Guacamole,4.45
Veggie Bowl,8.75
Chips,2.15
Chicken Burrito,8.75
Chips and Guacamole,4.45
Burrito,7.4
Crispy Tacos,7.4
Crispy Tacos,7.4
Steak Burrito,8.99
Chips and Guacamole,3.99
Steak Bowl,8.99
Side of Chips,1.69
Chicken Salad Bowl,8.75
Chicken Bowl,8.75
Chicken Salad Bowl,8.75
Chicken Salad Bowl,8.75
Veggie Bowl,11.25
Chicken Burrito,11.25
Chips and Fresh Tomato Salsa,2.95
Chicken Burrito,8.75
Steak Burrito,18.5
Veggie Burrito,8.49
Chips and Guacamole,3.99
Chips and Tomatillo Green Chili Salsa,2.95
Carnitas Bowl,9.25
Steak Burrito,9.25
Bottled Water,3.0
Canned Soft Drink,1.25
Chicken Bowl,8.75
Barbacoa Burrito,9.25
Chips and Guacamole,4.45
Chicken Bowl,8.75
Chicken Bowl,11.25
Chips and Guacamole,4.45
Chicken Bowl,10.98
Steak Burrito,22.16
Chips and Guacamole,4.45
Chicken Burrito,8.75
Steak Burrito,9.25
6 Pack Soft Drink,6.49
Carnitas Crispy Tacos,9.25
Veggie Bowl,11.25
Chicken Bowl,8.75
Barbacoa Burrito,9.25
Chips,2.15
Steak Bowl,9.25
Chips and Guacamole,4.45
Barbacoa Burrito,9.25
Chips and Roasted Chili Corn Salsa,2.95
Steak Burrito,9.25
Chicken Burrito,8.75
Carnitas Soft Tacos,9.25
Canned Soft Drink,1.25
Canned Soft Drink,1.25
Chicken Salad Bowl,8.75
Chicken Burrito,8.75
Steak Soft Tacos,9.25
Chips and Guacamole,4.45
Steak Burrito,11.75
Steak Burrito,11.75
Barbacoa Burrito,11.75
Barbacoa Burrito,9.25
Steak Burrito,9.25
Chicken Soft Tacos,16.98
Chips and Tomatillo-Green Chili Salsa,2.39
Izze,3.39
Izze,3.39
Steak Crispy Tacos,9.25
Steak Burrito,11.75
Chicken Bowl,11.25
Chips,2.15
Chicken Salad Bowl,8.75
Barbacoa Burrito,9.25
Chips and Guacamole,4.45
Chicken Burrito,10.98
Chicken Burrito,11.25
Carnitas Soft Tacos,9.25
Chicken Salad Bowl,22.5
Barbacoa Bowl,9.25
Chips and Tomatillo Red Chili Salsa,2.95
Bottled Water,1.5
Steak Bowl,11.48
Chicken Bowl,8.49
Side of Chips,1.69
Chicken Crispy Tacos,8.49
Chicken Burrito,8.49
Chicken Crispy Tacos,8.49
Nantucket Nectar,6.78
Barbacoa Burrito,11.75
Chips and Guacamole,4.45
Chicken Bowl,8.75
Chips and Guacamole,4.45
Steak Salad Bowl,11.89
Steak Salad Bowl,9.39
Chicken Burrito,8.75
Chips and Fresh Tomato Salsa,2.95
Canned Soft Drink,1.25
Barbacoa Soft Tacos,9.25
Chicken Burrito,8.75
Steak Salad Bowl,23.78
Chicken Bowl,8.75
Barbacoa Burrito,9.25
Chips,2.15
Chips,2.15
Canned Soft Drink,1.25
Veggie Bowl,8.49
Chips and Guacamole,3.99
Chicken Burrito,10.98
Canned Soda,1.09
Veggie Burrito,8.75
Chips and Guacamole,4.45
Chicken Bowl,8.75
Carnitas Burrito,11.75
Chips and Tomatillo Green Chili Salsa,2.95
Chips and Guacamole,4.45
Steak Burrito,9.25
Chicken Soft Tacos,8.75
Veggie Burrito,8.49
Chips and Guacamole,3.99
Chicken Salad Bowl,22.5
Chicken Burrito,11.25
Canned Soft Drink,1.25
Chicken Burrito,8.75
Chicken Bowl,8.75
Steak Burrito,18.5
6 Pack Soft Drink,6.49
Chicken Burrito,8.75
Chicken Soft Tacos,8.75
Chips and Guacamole,4.45
Veggie Bowl,8.49
Chips and Guacamole,3.99
Steak Burrito,8.99
Canned Soda,1.09
Chicken Bowl,8.49
Chips and Roasted Chili-Corn Salsa,2.39
Steak Burrito,11.48
Side of Chips,1.69
Canned Soft Drink,2.5
Carnitas Burrito,9.25
Bottled Water,1.5
Chicken Bowl,17.5
Chips and Tomatillo Green Chili Salsa,2.95
Chicken Burrito,8.75
Chips and Guacamole,4.45
Steak Burrito,11.75
Chicken Burrito,8.75
Chicken Bowl,8.49
Side of Chips,1.69
Veggie Burrito,8.49
Chips and Guacamole,3.99
Steak Salad,8.99
Steak Bowl,8.99
Chips and Guacamole,3.99
Carnitas Soft Tacos,8.99
Chicken Bowl,11.25
Chips and Guacamole,4.45
Canned Soft Drink,1.25
Chips and Guacamole,3.99
Chicken Burrito,10.98
Bowl,7.4
Chips and Mild Fresh Tomato Salsa,3.0
Burrito,7.4
Chips and Guacamole,4.0
Veggie Bowl,8.49
Chips and Guacamole,3.99
Steak Bowl,9.25
Chips and Guacamole,4.45
Chicken Burrito,11.25
Canned Soft Drink,1.25
Steak Burrito,11.75
Canned Soft Drink,1.25
Chicken Burrito,11.25
Chips,2.15
Chicken Bowl,11.25
Chips and Guacamole,4.45
Canned Soft Drink,3.75
Steak Bowl,11.75
Carnitas Burrito,8.99
Chips and Tomatillo-Red Chili Salsa,2.39
Chicken Salad Bowl,8.75
Chips and Guacamole,4.45
Canned Soft Drink,1.25
Steak Burrito,8.99
Chicken Soft Tacos,8.49
Canned Soda,2.18
Chicken Burrito,8.49
Canned Soda,2.18
Bottled Water,1.09
Chicken Salad Bowl,8.75
Chips and Tomatillo Green Chili Salsa,2.95
Canned Soft Drink,1.25
Bottled Water,1.5
Chicken Bowl,11.25
Steak Burrito,9.25
Chips and Roasted Chili Corn Salsa,2.95
Canned Soft Drink,1.25
Veggie Burrito,8.49
Chips and Guacamole,3.99
Steak Burrito,11.48
Chips and Guacamole,3.99
Veggie Burrito,8.49
Chicken Burrito,11.25
Canned Soft Drink,1.25
Barbacoa Burrito,8.99
Side of Chips,1.69
Chicken Bowl,11.25
Canned Soft Drink,1.25
6 Pack Soft Drink,6.49
Chicken Bowl,8.75
Barbacoa Burrito,9.25
Chicken Burrito,8.75
Chips and Fresh Tomato Salsa,2.95
Chicken Burrito,8.75
Steak Burrito,11.75
Steak Burrito,8.69
Steak Crispy Tacos,8.69
Chips and Fresh Tomato Salsa,2.29
Chips and Guacamole,3.99
Veggie Burrito,8.49
Chicken Bowl,8.75
Chicken Burrito,8.75
Canned Soft Drink,1.25
Steak Burrito,11.75
Veggie Bowl,11.25
Veggie Soft Tacos,11.25
Chicken Burrito,11.25
Canned Soft Drink,1.25
Steak Burrito,9.25
Barbacoa Burrito,11.75
6 Pack Soft Drink,6.49
Chips and Guacamole,3.99
Veggie Burrito,8.49
Chicken Burrito,11.25
Chips,2.15
Chicken Burrito,11.25
Steak Salad Bowl,11.89
Barbacoa Bowl,8.99
Side of Chips,1.69
Steak Salad,8.99
Steak Bowl,8.99
Chips and Guacamole,3.99
Carnitas Soft Tacos,8.99
Barbacoa Burrito,9.25
Steak Bowl,9.25
Chips,2.15
Burrito,7.4
Burrito,7.4
Veggie Burrito,8.75
Chicken Salad Bowl,8.75
Barbacoa Crispy Tacos,9.25
Chips and Guacamole,4.45
Chicken Bowl,11.25
Canned Soft Drink,1.25
Carnitas Burrito,11.75
Chicken Crispy Tacos,11.25
Canned Soft Drink,1.25
Chips and Guacamole,3.99
Veggie Burrito,8.49
Chicken Bowl,8.49
Chicken Bowl,8.49
Steak Crispy Tacos,8.99
Chicken Bowl,8.75
Chips,2.15
Canned Soft Drink,1.25
Chicken Burrito,8.49
Canned Soda,1.09
Bottled Water,1.09
Veggie Soft Tacos,8.75
Chips and Tomatillo Green Chili Salsa,2.95
Canned Soft Drink,1.25
Steak Bowl,9.25
Canned Soft Drink,1.25
Chips,2.15
Chicken Burrito,11.25
Canned Soft Drink,1.25
Chips and Guacamole,4.45
Chicken Burrito,8.75
Canned Soft Drink,2.5
Chips and Guacamole,8.9
Chicken Burrito,8.75
Chicken Bowl,8.75
Chicken Bowl,8.75
Chicken Burrito,11.25
Veggie Burrito,11.25
Chicken Bowl,10.98
Chips and Guacamole,3.99
Chicken Burrito,10.98
Chips and Guacamole,3.99
Side of Chips,1.69
Barbacoa Bowl,8.99
Barbacoa Bowl,9.25
Chicken Bowl,8.75
Steak Burrito,8.99
Canned Soda,1.09
Steak Burrito,9.25
Chips and Tomatillo Green Chili Salsa,2.95
Chicken Burrito,8.75
Steak Burrito,9.25
Chips and Guacamole,3.99
Veggie Burrito,8.49
Chicken Burrito,8.75
Chicken Bowl,8.75
Chicken Salad Bowl,22.5
Chicken Bowl,10.98
Bottled Water,3.27
Chips and Guacamole,3.99
Carnitas Soft Tacos,8.99
Canned Soda,1.09
Carnitas Bowl,11.08
Chicken Burrito,8.75
Chips and Guacamole,4.45
Steak Bowl,11.08
Chips and Guacamole,3.99
Veggie Burrito,8.49
Chips,4.3
Barbacoa Crispy Tacos,9.25
Chicken Crispy Tacos,8.75
Veggie Bowl,11.25
Veggie Bowl,11.25
Carnitas Bowl,9.25
Chicken Burrito,8.49
Carnitas Burrito,8.99
Chicken Burrito,8.49
Chicken Bowl,8.75
Chips and Tomatillo Red Chili Salsa,2.95
Chips and Guacamole,4.45
Barbacoa Bowl,9.25
Chips and Roasted Chili Corn Salsa,2.95
Steak Bowl,9.25
Veggie Bowl,8.75
Chicken Bowl,11.25
Chips and Guacamole,4.45
Veggie Bowl,16.98
Veggie Burrito,8.49
Chips and Fresh Tomato Salsa,2.39
Chicken Bowl,11.25
Canned Soft Drink,3.75
Carnitas Bowl,9.25
Chips and Guacamole,4.45
Barbacoa Burrito,9.25
Barbacoa Burrito,9.25
Chips and Guacamole,4.45
Chicken Burrito,8.75
Barbacoa Soft Tacos,9.25
Chicken Burrito,8.75
Barbacoa Burrito,9.25
Steak Burrito,9.25
Steak Burrito,9.25
Steak Burrito,11.48
Steak Burrito,8.99
Chicken Salad Bowl,22.5
Carnitas Burrito,11.75
Chicken Crispy Tacos,11.25
Canned Soft Drink,1.25
Chicken Bowl,8.75
Chips,2.15
Canned Soft Drink,1.25
Chicken Bowl,11.25
Chicken Soft Tacos,8.75
Canned Soft Drink,1.25
Veggie Burrito,11.25
Bottled Water,1.5
Chicken Soft Tacos,11.25
Chicken Bowl,11.25
Barbacoa Burrito,9.25
6 Pack Soft Drink,6.49
Chips and Guacamole,8.9
Chicken Bowl,8.75
Chips and Guacamole,4.45
Chicken Soft Tacos,11.25
Canned Soft Drink,1.25
Chicken Crispy Tacos,17.5
Steak Burrito,9.25
Veggie Bowl,8.75
Barbacoa Burrito,11.75
Bottled Water,3.0
Chicken Bowl,8.49
Veggie Burrito,8.49
Chicken Bowl,10.98
Steak Salad,8.99
Chips and Guacamole,3.99
Chicken Burrito,8.75
Chips and Guacamole,4.45
Steak Burrito,8.99
Side of Chips,1.69
Steak Bowl,11.75
Chicken Bowl,8.75
Veggie Bowl,11.25
Chips and Guacamole,4.45
Barbacoa Burrito,11.75
Canned Soft Drink,1.25
Steak Bowl,11.75
Chips and Roasted Chili Corn Salsa,2.95
Steak Burrito,8.99
Steak Burrito,8.99
Canned Soda,2.18
Steak Bowl,17.98
Steak Burrito,8.99
Chicken Burrito,8.49
Side of Chips,1.69
Steak Burrito,11.75
Chicken Bowl,11.25
Chips and Tomatillo Green Chili Salsa,2.95
Canned Soft Drink,3.75
Steak Crispy Tacos,9.25
